	项目类型	规则名称	规则说明	模板
	农村低保	既吃城市低保又吃农村低保	城市低保和农村低保只能享受一种	源源双表时间判断模板-2
	农村低保	农村低保身份证未查到	比较公安人口信息，未查到农村低保人身份证信息。确认领低保人员的身份是否正确	身份证未查到模板
	农村低保	农村低保身份证姓名不一致	比较公安人口信息，查找身份证一致而姓名不一致的低保人员。确认领低保人员的身份是否正确	身份姓名不一致模板
	农村低保	领农业补贴金额大又吃农村低保	核实领农业补贴金额大的家庭收入情况，确认是否符合农村低保条件	源源双表时间判断模板
	农村低保	领退耕还林补贴金额大又吃农村低保	核实领退耕还林补贴金额大的家庭收入情况，确认是否符合农村低保条件	源源双表时间判断模板
	农村低保	领生态公益林补贴金额大又吃农村低保	核实领生态公益林补贴金额大的家庭收入情况，确认是否符合农村低保条件	源源双表时间判断模板
	农村低保	财政供养人员吃农村低保	财政供养人员不是农村低保对象。	源比双表一对多模板
	农村低保	领导干部吃农村低保	领导干部不是农村低保对象。	源比双表一对多模板
	农村低保	领导干部家属吃农村低保	核查领导干部家属吃农村低保情况，确认其家庭收入是否符合政策规定	源比比三表模板
	农村低保	村干部吃农村低保	村干部不是农村低保对象。	源比双表一对多模板
	农村低保	村干部家属吃农村低保	核查村干部家属吃农村低保情况，确认其家庭收入是否符合政策规定	源比比三表模板
	农村低保	有工作吃农村低保	核实有工作吃农村低保人家庭经济情况，确认是否符合低保政策	源比双表多对多模板
	农村低保	核查直系亲属有工作吃农村低保	核实直系亲属有工作吃农村低保人家庭经济情况，确认是否符合低保政策	源比比三表户籍模板
	农村低保	有公司吃农村低保	核实有公司吃农村低保人家庭经济情况，确认是否符合低保政策	源比双表多对多模板
	农村低保	核查直系亲属有公司吃农村低保	核实直系亲属有公司吃农村低保人家庭经济情况，确认是否符合低保政策	源比比三表户籍模板
	农村低保	有车吃农村低保	核实有车吃农村低保人家庭经济情况，确认是否符合低保政策	源比双表多对多模板
	农村低保	核查直系亲属有车吃农村低保	核实直系亲属有车吃农村低保人家庭经济情况，确认是否符合低保政策	源比比三表户籍模板
	农村低保	死亡还吃农村低保	核查死亡人员超期吃农村低保情况	死亡模板
	农村低保	购买农机吃农村低保	核实购买农机吃农村低保人家庭经济情况，确认是否符合低保政策	源比双表多对多模板
	农村低保	核查直系亲属购买农机吃农村低保	核实直系亲属购买农机吃农村低保人家庭经济情况，确认是否符合低保政策	源比比三表户籍模板
	农村低保	有房吃农村低保	核实有房吃农村低保人家庭经济情况，确认是否符合低保政策	源比双表多对多模板
	农村低保	核查直系亲属有房吃农村低保	核实直系亲属有房吃农村低保人家庭经济情况，确认是否符合低保政策	源比比三表户籍模板
	农村低保	国企职工吃农村低保	国企职工不是农村低保对象。	源比双表一对多模板
	农村低保	核查直系亲属是国企职工吃农村低保	核实直系亲属是国企职工吃农村低保人家庭经济情况，确认是否符合低保政策	源比比三表户籍模板
	城市低保	城市低保身份证未查到	比较公安人口信息，未查到城市低保人身份证信息。确认领低保人员的身份是否正确	身份证未查到模板
	城市低保	城市低保身份证姓名不一致	比较公安人口信息，查找身份证一致而姓名不一致的城市低保人。确认领低保人员的身份是否正确	身份姓名不一致模板
	城市低保	领农业补贴金额大又吃城市低保	对领农业补贴大金额大的家庭收入情况，确认是否符合城市低保条件	源源双表时间判断模板
	城市低保	领退耕还林补贴金额大又吃城市低保	核实领退耕还林补贴金额大的家庭收入情况，确认是否符合城市低保条件	源源双表时间判断模板
	城市低保	领生态公益林补贴金额大又吃城市低保	核实领生态公益林补贴金额大的家庭收入情况，确认是否符合城市低保条件	源源双表时间判断模板
	城市低保	财政供养人员吃城市低保	财政供养人员不是城市低保对象。	源比双表一对多模板
	城市低保	领导干部吃城市低保	领导干部不是城市低保对象。	源比双表一对多模板
	城市低保	领导干部家属吃城市低保	核查领导干部家属吃城市低保情况，确认其家庭收入是否符合政策规定	源比比三表模板
	城市低保	村干部吃城市低保	村干部不是城市低保对象。	源比双表一对多模板
	城市低保	村干部家属吃城市低保	核查村干部家属吃城市低保情况，确认其家庭收入是否符合政策规定	源比比三表模板
	城市低保	有工作吃城市低保	核实有工作吃城市低保人员家庭经济情况，确认是否符合低保政策	源比双表多对多模板
	城市低保	核查直系亲属有工作吃城市低保	核实直系亲属有工作吃城市低保人家庭经济情况，确认是否符合低保政策	源比比三表户籍模板
	城市低保	有公司吃城市低保	核实有公司吃城市低保人员家庭经济情况，确认是否符合低保政策	源比双表多对多模板
	城市低保	核查直系亲属有公司吃城市低保	核实直系亲属有公司吃城市低保人家庭经济情况，确认是否符合低保政策	源比比三表户籍模板
	城市低保	有车吃城市低保	核实有车吃城市低保人员家庭经济情况，确认是否符合低保政策	源比双表多对多模板
	城市低保	核查直系亲属有车吃城市低保	核实直系亲属有车吃城市低保人家庭经济情况，确认是否符合低保政策	源比比三表户籍模板
	城市低保	死亡还吃城市低保	核查死亡人员超期吃城市低保情况	死亡模板
	城市低保	购买农机吃城市低保	核实购买农机低保人员家庭经济情况，确认是否符合低保政策	源比双表多对多模板
	城市低保	核查直系亲属购买农机吃城市低保	核实直系亲属购买农机吃城市低保人家庭经济情况，确认是否符合低保政策	源比比三表户籍模板
	城市低保	有房吃城市低保	核实有房吃城市低保人员家庭经济情况，确认是否符合低保政策	源比双表多对多模板
	城市低保	核查直系亲属有房吃城市低保	核实直系亲属有房吃城市低保人家庭经济情况，确认是否符合低保政策	源比比三表户籍模板
	城市低保	国企职工吃城市低保	国企职工不是城市低保对象。	源比双表一对多模板
	城市低保	核查直系亲属是国企职工吃城市低保	核实直系亲属是国企职工吃城市低保人家庭经济情况，确认是否符合低保政策	源比比三表户籍模板
	农村五保	既吃农村低保又吃农村五保	农村五保和农村低保只能享受一种	源源双表时间判断模板-2
	农村五保	既吃城市低保又吃农村五保	农村五保和城市低保只能享受一种	源源双表时间判断模板-2
	农村五保	农村五保身份证未查到	比较公安人口信息，未查到农村五保人身份证信息。确认领农村五保人的身份是否正确	身份证未查到模板
